"Protein_IDs"	"Majority_protein_IDs"	"Peptide_counts_all"	"Peptide_counts_razor_unique"	"Peptide_counts_unique"	"Fasta_headers"	"Number_of_proteins"	"Peptides"	"Razor_unique_peptides"	"Unique_peptides"	"Peptides_D_R1"	"Peptides_D_R2"	"Peptides_D_R3"	"Peptides_E_R1"	"Peptides_E_R2"	"Peptides_E_R3"	"Razor_unique_peptides_D_R1"	"Razor_unique_peptides_D_R2"	"Razor_unique_peptides_D_R3"	"Razor_unique_peptides_E_R1"	"Razor_unique_peptides_E_R2"	"Razor_unique_peptides_E_R3"	"Unique_peptides_D_R1"	"Unique_peptides_D_R2"	"Unique_peptides_D_R3"	"Unique_peptides_E_R1"	"Unique_peptides_E_R2"	"Unique_peptides_E_R3"	"Sequence_coverage"	"Unique_razor_sequence_coverage"	"Unique_sequence_coverage"	"Mol_weight_kDa"	"Sequence_length"	"Sequence_lengths"	"Q_value"	"Identification_type_D_R1"	"Identification_type_D_R2"	"Identification_type_D_R3"	"Identification_type_E_R1"	"Identification_type_E_R2"	"Identification_type_E_R3"	"Sequence_coverage_D_R1"	"Sequence_coverage_D_R2"	"Sequence_coverage_D_R3"	"Sequence_coverage_E_R1...."	"Sequence_coverage_E_R2"	"Sequence_coverage_E_R3"	"Intensity"	"Intensity_D_R1"	"Intensity_D_R2"	"Intensity_D_R3"	"Intensity_E_R1"	"Intensity_E_R2"	"Intensity_E_R3"	"iBAQ"	"iBAQ_D_R1"	"iBAQ_D_R2"	"iBAQ_D_R3"	"iBAQ_E_R1"	"iBAQ_E_R2"	"iBAQ_E_R3"	"LFQ_intensity_D_R1"	"LFQ_intensity_D_R2"	"LFQ.intensity_D_R3"	"LFQ_intensity_E_R1"	"LFQ_intensity_E_R2"	"LFQ_intensity_E_R3"	"MS_MS_Count_D_R1"	"MS_MS_Count_D_R2"	"MS_MS_Count_D_R3"	"MS_MS_Count_E_R1"	"MS_MS_Count_E_R2"	"MS_MS_Count_E_R3"	"MS_MS_Count"	"Only_identified_by_site"	"Reverse"	"Potential_contaminant"	"id"	"Peptide_IDs"	"Peptide_is_razor"	"Mod_peptide_IDs"	"Evidence_IDs"	"MS_MS_IDs"	"Best_MS_MS"	"Oxidation_M_site_IDs"	"Oxidation_M_site_positions"
"P04051"	"sp|P04051|RPC1_YEAST"	"6"	"6"	"6"	">sp|P04051|RPC1_YEAST DNA-directed RNA polymerase III subunit RPC1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPO31 PE=1 SV=1"	1	6	6	6	4	5	4	4	4	5	4	5	4	4	4	5	4	5	4	4	4	5	5	5	5	162.3	1460	"1460"	0	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	3.7	4.5	3.7	3.7	3.7	4.2	"254670000"	47092000	49427000	40033000	31327000	37631000	49155000	2893900	535140	561680	454920	355990	427620	558580	44996000	37216000	42439000	35517000	39626000	46085000	5	3	4	2	2	3	19	""	""	""	140	"2923;3419;4813;8667;10280;11999"	"True;True;True;True;True;True"	"2938;3434;4834;8710;10332;12060"	"19664;19665;19666;19667;19668;19669;19670;19671;23073;32169;57537;57538;57539;57540;57541;57542;57543;68401;68402;68403;68404;68405;68406;68407;80114;80115;80116;80117;80118;80119;80120;80121;80122;80123"	"27885;27886;27887;27888;27889;32726;45304;80144;80145;80146;95174;95175;95176;95177;95178;95179;95180;111901;111902;111903;111904;111905;111906;111907;111908"	"27889;32726;45304;80146;95177;111908"	""	""
"P04076"	"sp|P04076|ARLY_YEAST"	"5"	"5"	"5"	">sp|P04076|ARLY_YEAST Argininosuccinate lyase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ARG4 PE=1 SV=2"	1	5	5	5	4	4	4	4	4	5	4	4	4	4	4	5	4	4	4	4	4	5	12.5	12.5	12.5	51.989	463	"463"	0	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	10.8	9.7	9.7	10.6	10.2	12.5	"216420000"	25295000	36482000	38984000	34589000	41060000	40006000	8015400	936860	1351200	1443900	1281100	1520800	1481700	26402000	37492000	30354000	31042000	44097000	34255000	2	2	3	4	2	2	15	""	""	""	141	"3343;7391;8233;10696;12365"	"True;True;True;True;True"	"3358;7422;8271;10750;12430"	"22620;22621;22622;22623;22624;22625;22626;22627;22628;49134;49135;49136;49137;49138;49139;49140;49141;54788;54789;54790;54791;54792;71191;71192;71193;71194;71195;82705;82706;82707;82708"	"32229;32230;32231;32232;32233;32234;32235;32236;32237;32238;68769;68770;68771;68772;68773;76521;76522;76523;76524;76525;99089;115876"	"32234;68769;76521;99089;115876"	""	""
"P04147"	"sp|P04147|PABP_YEAST"	"20"	"20"	"20"	">sp|P04147|PABP_YEAST Polyadenylate-binding protein, cytoplasmic and nuclear OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PAB1 PE=1 SV=4"	1	20	20	20	18	20	17	19	20	18	18	20	17	19	20	18	18	20	17	19	20	18	46.1	46.1	46.1	64.343	577	"577"	0	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	43.3	46.1	37.1	46.1	46.1	43.3	"17283000000"	2847200000	2939700000	2.548e+09	2800600000	3.267e+09	2880300000	540090000	88976000	91865000	79624000	87519000	102090000	90009000	2903700000	3063600000	2951800000	2870100000	3003200000	2.95e+09	45	50	50	50	52	48	295	""	""	""	142	"120;433;617;937;2100;2129;3340;3341;4034;4035;5230;7367;8490;8531;8644;8836;9142;10654;11093;13879"	"True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True"	"120;439;623;945;2112;2141;3355;3356;4052;4053;5252;7398;8533;8574;8687;8882;9189;10708;11149;13950"	"865;866;867;868;869;870;871;872;873;874;875;876;3165;3166;3167;3168;3169;3170;4401;4402;4403;4404;4405;4406;4407;4408;4409;4410;4411;4412;6794;6795;6796;6797;6798;6799;14507;14508;14509;14510;14511;14710;14711;14712;14713;14714;14715;22600;22601;22602;22603;22604;22605;26967;26968;26969;26970;26971;26972;26973;26974;26975;26976;26977;26978;34833;34834;34835;34836;34837;34838;48979;48980;48981;48982;48983;48984;48985;48986;48987;48988;56486;56487;56488;56489;56490;56491;56492;56493;56494;56495;56496;56497;56498;56499;56500;56501;56502;56503;56504;56505;56506;56507;56508;56509;56510;56511;56512;56513;56514;56515;56516;56517;56518;56519;56520;56521;56754;56755;56756;56757;56758;56759;57412;57413;57414;57415;57416;57417;57418;57419;57420;57421;57422;57423;57424;58671;58672;58673;58674;58675;58676;58677;58678;58679;58680;58681;58682;60711;60712;60713;60714;60715;60716;70867;70868;70869;70870;70871;70872;73678;73679;73680;73681;73682;73683;73684;73685;73686;73687;73688;73689;93249;93250;93251;93252;93253;93254;93255;93256;93257;93258;93259;93260"	"1239;1240;1241;1242;1243;1244;1245;1246;1247;1248;1249;1250;1251;1252;1253;1254;1255;1256;1257;1258;1259;1260;1261;1262;1263;1264;4564;4565;6496;6497;6498;6499;6500;6501;6502;6503;6504;6505;6506;6507;6508;6509;6510;6511;6512;6513;6514;6515;10142;10143;10144;10145;10146;10147;10148;10149;10150;10151;10152;10153;20667;20668;20669;20670;20671;20672;20673;20965;20966;20967;20968;20969;20970;20971;20972;20973;20974;20975;20976;20977;20978;20979;20980;20981;20982;20983;32205;32206;32207;38205;38206;38207;38208;38209;38210;38211;38212;38213;38214;38215;38216;38217;38218;38219;38220;38221;38222;38223;38224;38225;38226;38227;38228;38229;38230;38231;38232;38233;49148;49149;49150;49151;49152;49153;49154;49155;49156;49157;49158;49159;49160;68554;68555;68556;68557;68558;68559;68560;68561;78800;78801;78802;78803;78804;78805;78806;78807;78808;78809;78810;78811;78812;78813;78814;78815;78816;78817;78818;78819;78820;78821;78822;78823;78824;78825;78826;78827;78828;78829;78830;78831;78832;78833;78834;78835;78836;78837;78838;78839;78840;78841;78842;78843;78844;78845;78846;78847;78848;78849;79156;79157;79158;79159;79160;79161;79162;79163;79164;79165;79166;79982;79983;79984;79985;79986;79987;79988;79989;79990;79991;79992;79993;79994;79995;79996;79997;79998;79999;80000;80001;80002;80003;80004;80005;80006;80007;81739;81740;81741;81742;81743;81744;81745;81746;81747;81748;81749;81750;81751;81752;81753;81754;81755;81756;81757;84598;84599;84600;84601;84602;84603;84604;84605;84606;84607;84608;84609;98677;98678;98679;98680;98681;98682;98683;98684;102738;102739;102740;102741;102742;102743;102744;102745;102746;102747;102748;102749;102750;102751;102752;102753;102754;102755;102756;102757;102758;102759;102760;102761;102762;130975;130976;130977;130978;130979;130980;130981;130982;130983;130984;130985;130986;130987;130988"	"1245;4565;6503;10145;20671;20972;32205;32207;38216;38228;49160;68559;78826;79156;79983;81756;84605;98683;102739;130981"	""	""
"P04161"	"sp|P04161|PUR3_YEAST"	"2"	"2"	"2"	">sp|P04161|PUR3_YEAST Phosphoribosylglycinamide formyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ADE8 PE=1 SV=1"	1	2	2	2	2	2	2	2	2	1	2	2	2	2	2	1	2	2	2	2	2	1	11.7	11.7	11.7	23.54	214	"214"	0	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	11.7	11.7	11.7	11.7	11.7	7.5	"141040000"	30168000	28552000	25153000	21104000	18468000	17593000	14104000	3016800	2855200	2515300	2110400	1846800	1759300	24531000	25971000	26383000	28064000	23884000	19953000	4	3	2	3	3	2	17	""	""	""	143	"5291;12189"	"True;True"	"5313;12252"	"35237;35238;35239;35240;35241;35242;35243;35244;35245;35246;35247;35248;81426;81427;81428;81429;81430"	"49681;49682;49683;49684;49685;49686;49687;49688;49689;49690;49691;49692;49693;113920;113921;113922;113923;113924"	"49689;113923"	""	""
"P04449"	"sp|P04449|RL24A_YEAST"	"5"	"5"	"1"	">sp|P04449|RL24A_YEAST 60S ribosomal protein L24-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL24A PE=1 SV=1"	1	5	5	1	5	5	5	5	5	4	5	5	5	5	5	4	1	1	1	1	1	1	21.3	21.3	6.5	17.613	155	"155"	0	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	21.3	21.3	21.3	21.3	21.3	20.6	"4025400000"	1214700000	543760000	544880000	581700000	584380000	555990000	805080000	242940000	108750000	108980000	116340000	116880000	111200000	827380000	694880000	692220000	676990000	674080000	658210000	3	4	3	3	3	3	19	""	""	""	144	"767;4916;9099;9715;12292"	"True;True;True;True;True"	"775;4938;9146;9764;12356"	"5484;5485;5486;5487;5488;5489;5490;5491;5492;5493;5494;5495;32893;32894;32895;32896;32897;32898;32899;60382;60383;60384;60385;60386;60387;64588;64589;64590;64591;64592;64593;64594;82186;82187;82188;82189;82190;82191;82192;82193;82194;82195;82196;82197"	"8155;8156;8157;8158;8159;8160;8161;8162;8163;8164;8165;8166;8167;8168;8169;8170;8171;8172;8173;8174;8175;8176;8177;8178;46598;46599;46600;46601;46602;46603;46604;46605;46606;46607;46608;46609;46610;46611;46612;46613;46614;46615;46616;46617;46618;46619;46620;46621;46622;46623;46624;84088;84089;84090;84091;84092;84093;89631;89632;89633;115109;115110;115111;115112;115113;115114;115115;115116;115117;115118;115119;115120;115121;115122;115123;115124;115125;115126;115127"	"8165;46605;84091;89633;115121"	""	""
"P04456"	"sp|P04456|RL25_YEAST"	"5"	"5"	"5"	">sp|P04456|RL25_YEAST 60S ribosomal protein L25 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL25 PE=1 SV=4"	1	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	33.8	33.8	33.8	15.757	142	"142"	0	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	33.8	33.8	33.8	33.8	33.8	33.8	"21322000000"	3302600000	3253900000	3371700000	3772800000	3758100000	3862800000	4264400000	660510000	650790000	674340000	754550000	751620000	772570000	3557100000	3547100000	3641800000	3889400000	3735300000	3.732e+09	14	13	13	16	14	13	83	""	""	""	145	"986;2626;7309;12552;12553"	"True;True;True;True;True"	"995;2639;7340;12617;12618;12619"	"7201;7202;7203;7204;7205;7206;17777;17778;17779;17780;17781;17782;17783;17784;48619;48620;48621;48622;48623;48624;48625;48626;48627;48628;48629;48630;48631;48632;84042;84043;84044;84045;84046;84047;84048;84049;84050;84051;84052;84053;84054;84055;84056"	"10839;10840;10841;10842;10843;10844;10845;10846;10847;10848;10849;25360;25361;25362;25363;25364;25365;25366;25367;25368;25369;25370;25371;25372;25373;25374;25375;25376;25377;25378;68069;68070;68071;68072;68073;68074;68075;68076;68077;68078;68079;68080;68081;68082;68083;68084;68085;68086;68087;68088;68089;68090;68091;68092;68093;68094;68095;68096;68097;68098;68099;68100;68101;68102;68103;68104;68105;68106;68107;68108;117968;117969;117970;117971;117972;117973;117974;117975;117976;117977;117978;117979;117980;117981;117982;117983"	"10843;25373;68098;117971;117977"	"59"	"73"
"P04650"	"sp|P04650|RL39_YEAST"	"2"	"2"	"2"	">sp|P04650|RL39_YEAST 60S ribosomal protein L39 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL39 PE=1 SV=3"	1	2	2	2	2	2	2	2	1	2	2	2	2	2	1	2	2	2	2	2	1	2	21.6	21.6	21.6	6.3415	51	"51"	0	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	21.6	21.6	21.6	21.6	19.6	21.6	"932990000"	155040000	164230000	187850000	125140000	115900000	184830000	932990000	155040000	164230000	187850000	125140000	115900000	184830000	181120000	188500000	219390000	79238000	0	195530000	1	3	3	1	1	2	11	""	""	""	146	"8040;9456"	"True;True"	"8072;9505"	"53650;53651;53652;53653;53654;53655;53656;62835;62836;62837;62838;62839;62840"	"75179;75180;75181;75182;75183;75184;87353;87354;87355;87356;87357;87358"	"75180;87355"	""	""
"P04786"	"sp|P04786|TOP1_YEAST"	"2"	"2"	"2"	">sp|P04786|TOP1_YEAST DNA topoisomerase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TOP1 PE=1 SV=2"	1	2	2	2	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	2	1	3	3	3	89.994	769	"769"	0	"By matching"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	1.4	1.4	1.4	1.4	3	1.4	"28389000"	4498000	3801400	3574500	4605300	7135300	4774900	604030	95701	80881	76053	97984	151810	101590	0	0	0	0	7066400	0	0	1	1	1	1	1	5	""	""	""	147	"8414;13255"	"True;True"	"8455;13325"	"56015;56016;56017;56018;56019;56020;89214"	"78140;78141;78142;78143;78144;125550"	"78144;125550"	""	""
"P04801"	"sp|P04801|SYTC_YEAST"	"23"	"23"	"23"	">sp|P04801|SYTC_YEAST Threonine--tRNA ligase, cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=THS1 PE=1 SV=2"	1	23	23	23	21	21	21	23	23	21	21	21	21	23	23	21	21	21	21	23	23	21	36.6	36.6	36.6	84.519	734	"734"	0	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	33.1	31.9	31.6	36.6	36.6	33.1	"10307000000"	1600200000	1557300000	1648200000	1778700000	1.871e+09	1851600000	271240000	42109000	40981000	43375000	46808000	49238000	48726000	1708100000	1772600000	1783200000	1714600000	1814200000	1806400000	53	48	48	55	50	49	303	""	""	""	148	"496;2143;2728;5287;5288;5371;7783;7869;8278;8364;8879;9521;9613;9886;9887;12022;12104;12795;12837;13226;13304;13367;13880"	"True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True"	"502;2155;2742;5309;5310;5393;7814;7900;8317;8404;8925;9570;9662;9936;9937;12084;12167;12863;12905;13296;13374;13438;13951"	"3589;3590;3591;3592;3593;3594;3595;14802;14803;14804;18449;18450;18451;18452;18453;18454;18455;35208;35209;35210;35211;35212;35213;35214;35215;35216;35217;35218;35219;35220;35221;35222;35223;35224;35225;35763;35764;35765;35766;35767;35768;35769;35770;51878;51879;51880;52501;52502;52503;52504;52505;52506;55112;55113;55114;55115;55116;55117;55683;55684;55685;55686;55687;55688;58949;58950;58951;58952;58953;58954;58955;58956;58957;58958;58959;58960;58961;58962;63242;63243;63244;63245;63246;63247;63248;63249;63250;63251;63252;63253;63254;63255;63256;63257;63258;63259;63260;63883;63884;63885;63886;63887;63888;65798;65799;65800;65801;65802;65803;65804;65805;65806;65807;65808;65809;65810;80277;80278;80279;80280;80281;80282;80283;80284;80285;80286;80287;80288;80289;80290;80860;80861;80862;80863;80864;80865;85647;85648;85649;85650;85651;85652;86027;86028;86029;86030;86031;86032;89025;89026;89027;89028;89029;89030;89507;89508;89509;89510;89511;89512;89513;89514;89515;89516;89517;89518;89519;89520;89974;89975;89976;89977;89978;89979;93261;93262;93263;93264;93265;93266"	"5235;5236;5237;5238;5239;5240;5241;5242;21096;21097;21098;26213;26214;26215;26216;26217;26218;26219;49631;49632;49633;49634;49635;49636;49637;49638;49639;49640;49641;49642;49643;49644;49645;49646;49647;49648;49649;49650;49651;49652;49653;49654;49655;49656;49657;49658;49659;49660;50341;50342;50343;50344;50345;50346;50347;50348;50349;50350;50351;50352;50353;50354;50355;72768;73619;73620;73621;73622;73623;73624;73625;73626;73627;73628;73629;73630;73631;73632;76964;76965;76966;76967;76968;76969;77698;77699;77700;77701;77702;77703;77704;77705;77706;77707;77708;77709;77710;77711;82092;82093;82094;82095;82096;82097;82098;82099;82100;82101;82102;82103;82104;82105;82106;82107;82108;82109;82110;87825;87826;87827;87828;87829;87830;87831;87832;87833;87834;87835;87836;87837;87838;87839;87840;87841;87842;87843;87844;87845;87846;87847;87848;87849;87850;87851;87852;87853;87854;87855;87856;87857;87858;87859;87860;87861;87862;87863;87864;87865;87866;88672;88673;88674;88675;88676;88677;88678;88679;91283;91284;91285;91286;91287;91288;91289;91290;91291;91292;91293;91294;91295;91296;91297;91298;91299;91300;91301;112265;112266;112267;112268;112269;112270;112271;112272;112273;112274;112275;112276;112277;112278;112279;112280;112281;112282;112283;112284;112285;112286;112287;112288;112289;113141;113142;113143;113144;113145;113146;120312;120313;120314;120315;120316;120317;120318;120319;120320;120321;120322;120323;120958;120959;120960;120961;120962;120963;120964;120965;120966;120967;120968;120969;120970;120971;120972;120973;120974;120975;120976;120977;120978;120979;120980;120981;125264;125265;125266;125267;125268;125269;125270;125271;125272;125273;125274;125275;125948;125949;125950;125951;125952;125953;125954;125955;125956;125957;125958;125959;125960;125961;125962;125963;125964;125965;126615;126616;126617;126618;126619;126620;126621;126622;126623;126624;126625;126626;126627;126628;126629;126630;126631;126632;126633;126634;126635;126636;126637;126638;126639;126640;126641;126642;126643;130989;130990"	"5242;21097;26217;49636;49651;50342;72768;73630;76964;77710;82108;87855;88679;91289;91293;112282;113146;120313;120975;125269;125958;126641;130990"	""	""
"P04802"	"sp|P04802|SYDC_YEAST"	"24"	"24"	"24"	">sp|P04802|SYDC_YEAST Aspartate--tRNA ligase, cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DPS1 PE=1 SV=3"	1	24	24	24	23	23	24	22	23	22	23	23	24	22	23	22	23	23	24	22	23	22	49.2	49.2	49.2	63.515	557	"557"	0	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	47.4	47.4	49.2	46.1	47.4	47.4	"10174000000"	1644800000	1605200000	1.612e+09	1688200000	1789400000	1834600000	317940000	51399000	50162000	50377000	52756000	55919000	57331000	1728500000	1784400000	1716600000	1721900000	1756500000	1790200000	47	43	50	41	45	43	269	""	""	""	149	"36;348;349;555;938;1050;1773;2023;2340;2464;3986;6054;6893;7907;7908;9489;9496;9505;9653;10003;12028;13220;13547;13917"	"True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True"	"36;353;354;561;946;1059;1785;2035;2353;2477;4004;6081;6923;7938;7939;9538;9545;9554;9702;10055;12090;13290;13618;13988"	"270;271;272;273;274;275;276;277;278;279;280;2562;2563;2564;2565;2566;2567;2568;2569;2570;2571;2572;2573;2574;2575;2576;2577;2578;2579;2580;2581;2582;4010;4011;4012;4013;4014;4015;6800;6801;6802;6803;6804;6805;6806;6807;6808;6809;6810;6811;7636;7637;7638;7639;7640;7641;7642;7643;12388;12389;12390;12391;12392;12393;12394;12395;12396;12397;12398;12399;13988;13989;13990;13991;13992;13993;13994;13995;13996;13997;13998;16057;16058;16059;16060;16061;16793;16794;16795;16796;16797;16798;26622;26623;26624;26625;26626;26627;40301;40302;40303;40304;40305;40306;45925;45926;45927;45928;45929;45930;52752;52753;52754;52755;52756;52757;52758;52759;52760;52761;52762;52763;52764;52765;52766;52767;52768;52769;52770;52771;52772;52773;52774;63053;63054;63055;63056;63057;63058;63109;63110;63111;63112;63113;63114;63115;63116;63117;63118;63119;63120;63159;63160;63161;63162;63163;63164;63165;63166;63167;64129;64130;64131;64132;64133;64134;66588;66589;66590;66591;66592;66593;66594;66595;66596;66597;66598;66599;80339;80340;80341;80342;80343;80344;88977;88978;88979;88980;88981;88982;91095;93494;93495;93496;93497;93498;93499"	"494;495;496;497;498;499;500;501;502;3702;3703;3704;3705;3706;3707;3708;3709;3710;3711;3712;3713;3714;3715;5984;5985;10154;10155;10156;10157;10158;10159;10160;10161;10162;10163;10164;10165;10166;10167;10168;10169;10170;10171;10172;10173;10174;10175;10176;10177;10178;10179;11508;11509;11510;11511;11512;11513;11514;11515;11516;11517;11518;11519;11520;11521;11522;11523;17845;17846;17847;17848;17849;17850;20007;20008;20009;20010;20011;20012;20013;20014;20015;20016;20017;20018;20019;20020;20021;20022;20023;22940;22941;22942;22943;22944;23937;23938;23939;23940;23941;23942;23943;23944;23945;23946;23947;23948;37739;37740;37741;37742;37743;56647;56648;56649;56650;56651;56652;56653;56654;56655;56656;56657;56658;56659;64289;64290;64291;64292;64293;64294;64295;64296;64297;64298;64299;64300;73994;73995;73996;73997;73998;73999;74000;74001;74002;74003;74004;74005;74006;74007;74008;74009;74010;74011;74012;74013;74014;74015;74016;74017;74018;74019;74020;74021;74022;74023;74024;74025;74026;74027;74028;74029;74030;74031;74032;74033;74034;74035;74036;74037;74038;74039;74040;74041;74042;74043;74044;74045;74046;74047;74048;74049;74050;87598;87599;87600;87601;87602;87603;87604;87605;87606;87607;87608;87609;87669;87670;87671;87672;87673;87674;87675;87676;87677;87678;87679;87680;87681;87682;87683;87684;87685;87686;87687;87742;87743;87744;87745;87746;87747;89016;89017;89018;89019;89020;89021;89022;92363;92364;92365;92366;92367;92368;92369;92370;92371;92372;92373;92374;92375;92376;92377;92378;92379;92380;92381;92382;92383;92384;92385;92386;112381;112382;112383;112384;112385;112386;112387;112388;112389;112390;112391;112392;112393;112394;112395;125173;125174;125175;125176;125177;125178;125179;125180;125181;125182;125183;125184;125185;127997;131262;131263;131264;131265;131266"	"494;3705;3712;5985;10158;11517;17849;20011;22940;23946;37743;56648;64292;73999;74045;87607;87685;87747;89019;92368;112391;125174;127997;131262"	""	""
"P04806"	"sp|P04806|HXKA_YEAST"	"13"	"12"	"12"	">sp|P04806|HXKA_YEAST Hexokinase-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXK1 PE=1 SV=2"	1	13	12	12	11	13	12	13	12	13	10	12	11	12	11	12	10	12	11	12	11	12	44.9	43.3	43.3	53.738	485	"485"	0	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	36.5	44.9	42.5	44.9	42.5	44.9	"2320800000"	345230000	369860000	363240000	408140000	402670000	431680000	85956000	12786000	13698000	13454000	15116000	14914000	15988000	376070000	408660000	418160000	397980000	383360000	421580000	15	19	17	17	20	21	109	""	""	""	150	"1394;1717;1901;2791;4025;4724;4898;4935;5209;6597;7608;8208;13551"	"True;True;True;True;True;True;True;True;True;False;True;True;True"	"1404;1729;1913;2806;4043;4745;4920;4957;5231;6627;7639;8245;13622"	"9927;9928;9929;9930;9931;9932;12041;12042;12043;12044;12045;12046;12047;12048;13162;13163;13164;13165;13166;13167;13168;13169;13170;13171;13172;13173;13174;13175;13176;13177;18860;18861;18862;18863;18864;18865;26908;26909;26910;26911;26912;26913;31638;31639;31640;31641;31642;32798;32799;32800;32801;32802;32803;33009;33010;33011;33012;33013;33014;34674;34675;34676;34677;34678;34679;34680;34681;34682;34683;34684;34685;43963;43964;43965;43966;43967;43968;50575;50576;50577;50578;50579;50580;54647;54648;54649;91108;91109;91110;91111;91112;91113"	"14513;14514;17364;17365;17366;17367;17368;17369;17370;17371;17372;17373;17374;17375;17376;17377;17378;17379;17380;17381;17382;17383;17384;17385;17386;18879;18880;18881;18882;18883;18884;18885;18886;18887;18888;18889;18890;18891;18892;18893;18894;26748;26749;26750;26751;26752;26753;26754;38115;38116;38117;38118;38119;38120;44601;44602;44603;44604;44605;44606;44607;44608;44609;46448;46449;46450;46451;46452;46453;46756;46757;46758;46759;46760;46761;46762;46763;46764;48927;48928;48929;48930;48931;48932;48933;48934;48935;48936;48937;48938;48939;48940;48941;48942;48943;48944;48945;48946;48947;48948;48949;48950;48951;48952;48953;48954;48955;61666;61667;61668;61669;61670;61671;61672;61673;61674;61675;61676;70808;70809;70810;76326;76327;76328;128005;128006;128007;128008;128009;128010"	"14513;17375;18894;26754;38117;44601;46451;46764;48929;61675;70809;76327;128009"	""	""
